City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Srandakan,-7.9386,110.2506,87.39,57,34,6.51,ID,2022-02-03 04:25:41,light rain
60,Rikitea,-23.1203,-134.9692,77.94,76,66,10.22,PF,2022-02-03 04:22:57,light rain
61,Mataura,-46.1927,168.8643,57.47,68,100,5.19,NZ,2022-02-03 04:23:00,overcast clouds
62,Inhambane,-23.865,35.3833,76.1,83,15,1.12,MZ,2022-02-03 04:25:41,few clouds
63,Kande,9.9578,1.0447,66.52,12,50,4.05,TG,2022-02-03 04:25:42,scattered clouds
64,Japura,-0.3167,102.35,85.53,67,90,3.09,ID,2022-02-03 04:25:42,heavy intensity rain
65,Albany,42.6001,-73.9662,44.55,82,100,3.31,US,2022-02-03 04:22:53,overcast clouds
66,Raudeberg,61.9875,5.1352,35.87,74,100,3.0,NO,2022-02-03 04:24:41,light rain
67,Huesca,42.1362,-0.4087,39.79,100,0,0.0,ES,2022-02-03 04:25:01,clear sky
68,Port Elizabeth,-33.918,25.5701,71.1,88,75,12.66,ZA,2022-02-03 04:25:42,broken clouds
69,Atuona,-9.8,-139.0333,78.71,75,100,17.58,PF,2022-02-03 04:22:55,overcast clouds
70,Kapaa,22.0752,-159.319,78.78,72,100,4.61,US,2022-02-03 04:22:58,overcast clouds
71,Mar Del Plata,-38.0023,-57.5575,72.09,87,100,3.0,AR,2022-02-03 04:25:43,heavy intensity rain
72,Upata,8.0086,-62.3989,74.19,88,24,6.73,VE,2022-02-03 04:25:43,few clouds
73,Clyde River,70.4692,-68.5914,-16.37,76,100,17.27,CA,2022-02-03 04:19:13,light snow
74,Hermanus,-34.4187,19.2345,65.89,81,0,14.25,ZA,2022-02-03 04:25:44,clear sky
75,Saskylakh,71.9167,114.0833,-32.39,100,17,2.42,RU,2022-02-03 04:23:04,few clouds
76,Bambous Virieux,-20.3428,57.7575,80.85,89,75,27.63,MU,2022-02-03 04:25:44,shower rain
77,Rio Grande,-32.035,-52.0986,75.31,82,3,16.35,BR,2022-02-03 04:25:44,clear sky
78,Itarema,-2.9248,-39.9167,78.75,80,100,9.89,BR,2022-02-03 04:23:18,overcast clouds
79,Hambantota,6.1241,81.1185,84.54,65,20,6.91,LK,2022-02-03 04:25:45,very heavy rain
80,Cape Town,-33.9258,18.4232,66.11,88,40,8.05,ZA,2022-02-03 04:20:05,scattered clouds
81,Bluff,-46.6,168.3333,57.79,61,100,17.05,NZ,2022-02-03 04:25:45,overcast clouds
82,Bengkulu,-3.8004,102.2655,83.35,70,70,6.33,ID,2022-02-03 04:25:46,heavy intensity rain
83,Xining,36.6167,101.7667,21.42,41,2,2.73,CN,2022-02-03 04:25:46,clear sky
84,Temirtau,50.0544,72.9483,-0.15,91,100,1.28,KZ,2022-02-03 04:25:46,overcast clouds
85,Cidreira,-30.1811,-50.2056,75.58,88,6,20.96,BR,2022-02-03 04:25:46,clear sky
86,Chippenham,51.46,-2.1247,46.96,85,100,6.98,GB,2022-02-03 04:25:47,overcast clouds
87,Banagher,53.1886,-7.9867,46.56,96,57,8.75,IE,2022-02-03 04:25:47,broken clouds
88,Kieta,-6.2167,155.6333,80.06,87,100,10.47,PG,2022-02-03 04:25:47,moderate rain
89,New Norfolk,-42.7826,147.0587,63.9,62,91,3.0,AU,2022-02-03 04:25:48,overcast clouds
90,Mount Pleasant,32.7941,-79.8626,60.19,96,100,1.01,US,2022-02-03 04:25:48,mist
91,Qui Nhon,13.7667,109.2333,77.25,77,76,13.67,VN,2022-02-03 04:25:48,light rain
92,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.62,78,48,6.87,BR,2022-02-03 04:25:49,scattered clouds
93,Salina,38.8403,-97.6114,16.18,48,100,18.41,US,2022-02-03 04:23:48,overcast clouds
94,Bud,39.447,-86.1758,30.4,95,100,14.18,US,2022-02-03 04:26:49,snow
95,Wielun,51.221,18.5696,31.89,81,100,9.6,PL,2022-02-03 04:26:49,overcast clouds
